var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,relative_humidity,total_power
0,78.8,90,60,0,-123456,78.6,64.4,0,0,0,6,78.8,90,60,0,-123456,78.8,64.4,0,0,0,6,79.6,90,60,0,-123456,79.4,64.4,0,0,0,5,78.4,90,60,0,-123456,78.5,64.4,0,0,0,6,78.5,90,60,0,-123456,78.5,64.4,0,0,0,25.86,78.7,64.4,64.9,62.7455,85.6,71.4,78.7,0,0,0,-123456,90,0,24.3,0,22.9,-1.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,65.8,75.8,75.9,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.0833333,74.6,90,60,0,-123456,75.1,64.4,0,0,0,5,74.5,90,60,0,-123456,77.4,64.4,0,0,0,6,74.6,90,60,0,-123456,82.1,64.4,0,0,0,5,74.7,90,60,0,-123456,76.9,64.4,0,0,0,6,75.3,90,60,0,-123456,75.5,64.4,0,0,0,23,76.3,64.4,70.2,62.8638,70.6,70.3,76.3,0,0,0,-123456,90,0,32.6,0,17.1,-15.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.166667,74.6,90,60,0,-123456,74.6,64.4,0,0,0,5,74.5,90,60,0,-123456,75.4,64.4,0,0,0,6,74.6,90,60,0,-123456,77.1,64.4,0,0,0,5,74.6,90,60,0,-123456,75.3,64.4,0,0,0,6,75.2,90,60,0,-123456,75.1,64.4,0,0,0,24.7692,75.1,64.4,70.1,63.291,70.5,70.2,75.1,0,0,0,-123456,90,0,31.3,0,18.8,-12.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.25,74.7,90,60,0,-123456,74.5,64.4,0,0,0,5,74.5,90,60,0,-123456,74.7,64.4,0,0,0,6,74.6,90,60,0,-123456,75.4,64.4,0,0,0,5,74.7,90,60,0,-123456,74.7,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,26,74.7,64.4,69.9,63.5655,70.5,70.1,74.7,0,0,0,-123456,90,0,30.3,0,17.7,-12.6,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.333333,74.8,90,60,0,-123456,74.4,64.4,0,0,0,5.25926,74.6,90,60,0,-123456,74.5,64.4,0,0,0,6.24528,74.8,90,60,0,-123456,74.8,64.4,0,0,0,6,74.9,90,60,0,-123456,74.6,64.4,0,0,0,7,75.2,90,60,0,-123456,74.8,64.4,0,0,0,26.6275,74.7,64.4,69.8,63.8228,70.5,70.1,74.7,0,0,0,-123456,90,0,30.5,0,10.4,-20.1,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.416667,74.9,90,60,0,-123456,74.4,64.4,0,0,0,5,74.6,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,25.96,74.7,64.4,69.7,64.1,70.7,70.1,74.7,0,0,0,-123456,90,0,22.7,0,30.1,7.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.5,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,75,90,60,0,-123456,74.6,64.4,0,0,0,6.60377,75.2,90,60,0,-123456,74.8,64.4,0,0,0,24.6078,74.8,64.4,69.5,64.2745,70.9,70.1,74.8,0,0,0,-123456,90,0,30,0,21.3,-8.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.583333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5.18868,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6.24528,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23.6667,74.8,64.4,69.4,64.5517,71,70.1,74.8,0,0,0,-123456,90,0,27.5,0,23,-4.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.666667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5.05556,74.8,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.68518,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23,74.8,64.4,69.3,64.809,71.2,70.1,74.8,0,0,0,-123456,90,0,25.1,0,24,-1.1,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.75,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5.6,74.8,90,60,0,-123456,74.6,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,7,75.3,90,60,0,-123456,74.8,64.4,0,0,0,23.26,74.8,64.4,69.1,65.1207,71.5,70.1,74.8,0,0,0,-123456,90,0,33.6,0,26.9,-6.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.833333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,75.1,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,7,75.3,90,60,0,-123456,74.9,64.4,0,0,0,26,74.8,64.4,69,65.3641,71.7,70.1,74.8,0,0,0,-123456,90,0,28,0,19.5,-8.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.916667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.69811,75.3,90,60,0,-123456,74.9,64.4,0,0,0,26,74.9,64.4,68.9,65.6276,71.8,70.1,74.8,0,0,0,-123456,90,0,29.1,0,22.3,-6.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1,75,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6.10909,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.5918,74.9,64.4,68.7,65.7745,72,70.1,74.9,0,0,0,-123456,90,0,31.1,0,20.8,-10.3,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,8,-123456,5,23,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.08333,75,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.7,74.9,64.4,68.6,65.8179,72.2,70.1,74.9,0,0,0,-123456,90,0,29.2,0,25.6,-3.6,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.16667,75,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,24.0204,74.9,64.4,68.5,65.8214,72.3,70.1,74.9,0,0,0,-123456,90,0,27.7,0,23,-4.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.25,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23.16,74.9,64.4,68.3,65.7283,72.6,70.1,74.9,0,0,0,-123456,90,0,26.5,0,25.2,-1.3,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.33333,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,22.8113,74.9,64.4,68.2,65.7317,72.9,70.1,74.9,0,0,0,-123456,90,0,34.7,0,16.5,-18.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.41667,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23.7647,74.9,64.4,68.1,65.7352,73,70.1,74.9,0,0,0,-123456,90,0,25.3,0,23.1,-2.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.5,75,90,60,0,-123456,74.6,64.4,0,0,0,6,74.8,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.9,74.9,64.4,67.9,65.6421,73.2,70.1,74.9,0,0,0,-123456,90,0,29.6,0,20.8,-8.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.58333,75,90,60,0,-123456,74.6,64.4,0,0,0,6,74.8,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,26,74.9,64.4,67.8,65.6455,73.5,70.1,74.9,0,0,0,-123456,90,0,30.6,0,20.9,-9.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.66667,75,90,60,0,-123456,74.7,64.4,0,0,0,5.63462,74.8,90,60,0,-123456,74.7,64.4,0,0,0,6,75,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6.4717,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.9804,74.9,64.4,67.6,65.5524,73.6,70.1,74.9,0,0,0,-123456,90,0,28.5,0,21.7,-6.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.75,75,90,60,0,-123456,74.7,64.4,0,0,0,5.26415,74.8,90,60,0,-123456,74.7,64.4,0,0,0,6,75,90,60,0,-123456,74.9,64.4,0,0,0,5.88,75.1,90,60,0,-123456,74.8,64.4,0,0,0,7,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.54,74.9,64.4,67.5,65.5559,73.8,70.1,74.9,0,0,0,-123456,90,0,28.3,0,16.9,-11.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.83333,75,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,74.9,90,60,0,-123456,74.9,64.4,0,0,0,5.44,75.1,90,60,0,-123456,74.8,64.4,0,0,0,7,75.3,90,60,0,-123456,75,64.4,0,0,0,24,74.9,64.4,67.4,65.5593,74.1,70.1,74.9,0,0,0,-123456,90,0,34.5,0,16.5,-18,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
1.91667,75,90,60,0,-123456,74.7,64.4,0,0,0,5.01852,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6.63462,74.9,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.8,64.4,0,0,0,7,75.3,90,60,0,-123456,75,64.4,0,0,0,25,75,64.4,67.2,65.4662,74.3,70.1,74.9,0,0,0,-123456,90,0,32.5,0,10.1,-22.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
2,75,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.8,64.4,0,0,0,6,74.9,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.8,64.4,0,0,0,6.37736,75.3,90,60,0,-123456,75,64.4,0,0,0,23,75,64.4,67.1,65.4697,74.6,70.1,75,0,0,0,-123456,90,0,29.9,0,20.7,-9.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
2.08333,75,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.8,64.4,0,0,0,6,75,90,60,0,-123456,74.9,64.4,0,0,0,5,74.9,90,60,0,-123456,74.8,64.4,0,0,0,6.10909,75.3,90,60,0,-123456,75,64.4,0,0,0,23.58,75,64.4,67,65.4331,74.9,70.1,75,0,0,0,-123456,90,0,34.7,0,18.2,-16.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
2.16667,75,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.8,64.4,0,0,0,6,75,90,60,0,-123456,74.9,64.4,0,0,0,5,74.9,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,75,64.4,0,0,0,26,75,64.4,66.9,65.4166,75.2,70.1,75,0,0,0,-123456,90,0,33.3,0,22.3,-11,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
