var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,relative_humidity,total_power
0,78.7,90,60,0,-123456,78.4,58.9316,0,0,0,6,78.7,90,60,0,-123456,78.5,58.9316,0,0,0,6.79592,79.5,90,60,0,-123456,79.2,58.9316,0,0,0,6,78.4,90,60,0,-123456,78.2,58.9316,0,0,0,7,78.5,90,60,0,-123456,78.3,58.9316,0,0,0,26.9412,78.4,58.9316,64.9,62.7455,80.9,71.2,78.4,0,0,0,-123456,90,0,33.8,0,9.4,-24.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,60.8,76.9,78,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.0833333,74.6,90,60,0,-123456,74.8,53.798,0,0,0,6,74.5,90,60,0,-123456,76.1,53.798,0,0,0,6,74.6,90,60,0,-123456,80.3,53.798,0,0,0,5,74.6,90,60,0,-123456,76,53.798,0,0,0,6,75.3,90,60,0,-123456,75.3,53.798,0,0,0,25.9216,75.6,53.798,70.2,62.8938,70.6,70.3,75.6,0,0,0,-123456,90,0,27.1,0,22.1,-5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.166667,74.6,90,60,0,-123456,74.5,53.24,0,0,0,6,74.5,90,60,0,-123456,74.9,53.24,0,0,0,6,74.6,90,60,0,-123456,76.5,53.24,0,0,0,5,74.6,90,60,0,-123456,74.9,53.24,0,0,0,6,75.2,90,60,0,-123456,75,53.24,0,0,0,25.6667,74.9,53.24,70.1,63.321,70.5,70.2,74.9,0,0,0,-123456,90,0,36.9,0,21.5,-15.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.25,74.7,90,60,0,-123456,74.4,53.24,0,0,0,6,74.5,90,60,0,-123456,74.5,53.24,0,0,0,6,74.6,90,60,0,-123456,75.2,53.3516,0,0,0,5.41176,74.7,90,60,0,-123456,74.6,53.3516,0,0,0,6,75.2,90,60,0,-123456,74.8,53.3516,0,0,0,25.1731,74.7,64.4,69.9,63.5855,70.5,70.1,74.7,0,0,0,-123456,90,0,28.1,0,17.1,-11,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.333333,74.8,90,60,0,-123456,74.4,64.4,0,0,0,6,74.6,90,60,0,-123456,74.4,64.4,0,0,0,6,74.8,90,60,0,-123456,74.8,64.4,0,0,0,6,74.9,90,60,0,-123456,74.5,64.4,0,0,0,7,75.2,90,60,0,-123456,74.7,64.4,0,0,0,24.1961,74.7,64.4,69.8,63.8428,70.5,70.1,74.7,0,0,0,-123456,90,0,27.7,0,27.8,0.1,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.416667,74.9,90,60,0,-123456,74.4,64.4,0,0,0,5.01887,74.6,90,60,0,-123456,74.4,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5.81633,74.9,90,60,0,-123456,74.6,64.4,0,0,0,7,75.2,90,60,0,-123456,74.7,64.4,0,0,0,23.1373,74.7,64.4,69.7,64.12,70.7,70.1,74.7,0,0,0,-123456,90,0,33.6,0,14.8,-18.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.5,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,75,90,60,0,-123456,74.6,64.4,0,0,0,7,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23.1176,74.8,64.4,69.5,64.2945,70.9,70.1,74.8,0,0,0,-123456,90,0,25,0,24.2,-0.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.583333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6.48214,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23.94,74.8,64.4,69.4,64.5717,71,70.1,74.8,0,0,0,-123456,90,0,39.6,0,25.8,-13.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.666667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.8,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.21818,75.2,90,60,0,-123456,74.8,64.4,0,0,0,26,74.8,64.4,69.3,64.829,71.1,70.1,74.8,0,0,0,-123456,90,0,30.6,0,10.7,-19.9,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.75,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.8,90,60,0,-123456,74.6,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.11321,75.3,90,60,0,-123456,74.8,64.4,0,0,0,25.5769,74.8,64.4,69.1,65.1407,71.4,70.1,74.8,0,0,0,-123456,90,0,29.9,0,17.5,-12.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
