var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,relative_humidity,total_power
0,78.7,90,60,0,-123456,78.4,64.4,0,0,0,5,78.7,90,60,0,-123456,78.5,64.4,0,0,0,5.63265,79.5,90,60,0,-123456,79.1,64.4,0,0,0,4,78.4,90,60,0,-123456,78.3,64.4,0,0,0,4.83333,78.5,90,60,0,-123456,78.4,58.9316,0,0,0,19,78.5,58.9316,64.9,62.7455,80.9,71.4,78.5,0,0,0,-123456,7,0,24.8,0,1.2,-23.6,0,-123456,0,0,0,-123456,-123456,5,8,0,50,54.8,80.1,80.5,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.0833333,74.6,90,60,0,-123456,74.8,53.24,0,0,0,5,74.5,90,60,0,-123456,76.3,53.24,0,0,0,6,74.6,90,60,0,-123456,79.4,53.24,0,0,0,5,74.6,90,60,0,-123456,76.1,53.24,0,0,0,6,75.3,90,60,0,-123456,75.3,53.24,0,0,0,23.9811,75.6,53.24,70.2,62.8638,70.4,70.2,75.6,0,0,0,-123456,90,0,26.8,0,24.8,-2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.166667,74.6,90,60,0,-123456,74.5,53.24,0,0,0,5,74.5,90,60,0,-123456,75,53.24,0,0,0,6,74.6,90,60,0,-123456,76.1,53.24,0,0,0,5,74.6,90,60,0,-123456,75,53.24,0,0,0,6.70909,75.2,90,60,0,-123456,75,53.24,0,0,0,23,74.9,53.24,70.1,63.321,70.4,70.2,74.9,0,0,0,-123456,90,0,33.8,0,20.8,-13,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.25,74.7,90,60,0,-123456,74.4,53.24,0,0,0,5,74.5,90,60,0,-123456,74.6,53.24,0,0,0,6,74.6,90,60,0,-123456,75.1,53.24,0,0,0,5,74.7,90,60,0,-123456,74.6,53.24,0,0,0,6,75.2,90,60,0,-123456,74.8,53.24,0,0,0,23,74.7,64.4,70,63.6483,70.5,70.1,74.7,0,0,0,-123456,90,0,22.8,0,15.5,-7.3,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.333333,74.8,90,60,0,-123456,74.4,64.4,0,0,0,5.83333,74.6,90,60,0,-123456,74.5,64.4,0,0,0,6,74.8,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6.85185,75.2,90,60,0,-123456,74.7,64.4,0,0,0,25.4,74.7,64.4,69.8,63.8428,70.5,70.1,74.7,0,0,0,-123456,90,0,28.5,0,22.3,-6.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.416667,74.9,90,60,0,-123456,74.4,64.4,0,0,0,6,74.6,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.7,64.4,0,0,0,26.12,74.7,64.4,69.7,64.1,70.6,70.1,74.7,0,0,0,-123456,90,0,40.2,0,22.8,-17.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.5,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,75,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,25.12,74.8,64.4,69.5,64.2945,70.9,70.1,74.8,0,0,0,-123456,90,0,35.8,0,14.1,-21.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.583333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,26,74.8,64.4,69.4,64.5517,71,70.1,74.8,0,0,0,-123456,90,0,29.7,0,20.6,-9.1,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.666667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.8,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,24.7451,74.8,64.4,69.3,64.829,71.1,70.1,74.8,0,0,0,-123456,90,0,24.5,0,18.9,-5.6,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,4,-123456,5,27,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.75,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.8,90,60,0,-123456,74.6,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5.08,75.1,90,60,0,-123456,74.7,64.4,0,0,0,5.81132,75.3,90,60,0,-123456,74.8,64.4,0,0,0,23.2157,74.8,64.4,69.1,65.1207,71.4,70.1,74.8,0,0,0,-123456,90,0,28.3,0,22.9,-5.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
